Character,Lv,Rarity,Element,Weapon,Main role,Ascension,BaseHP,BaseATK,BaseDEF,Bossfight
Amber,1,4,Pyro,Bow,Sub DPS,ATK,793,19,50,0
Amber,20,4,Pyro,Bow,Sub DPS,ATK,2038,48,129,0
Amber,20,4,Pyro,Bow,Sub DPS,ATK,2630,62,167,0
Amber,40,4,Pyro,Bow,Sub DPS,ATK,3940,93,250,0
Amber,40,4,Pyro,Bow,Sub DPS,ATK,4361,103,277,0
Amber,50,4,Pyro,Bow,Sub DPS,ATK,5016,118,318,0
Amber,50,4,Pyro,Bow,Sub DPS,ATK,5578,131,354,0
Amber,60,4,Pyro,Bow,Sub DPS,ATK,6233,147,396,1
Amber,60,4,Pyro,Bow,Sub DPS,ATK,6654,157,422,1
Amber,70,4,Pyro,Bow,Sub DPS,ATK,7309,172,464,1
Amber,70,4,Pyro,Bow,Sub DPS,ATK,7730,182,491,1
Amber,80,4,Pyro,Bow,Sub DPS,ATK,8385,198,532,1
Amber,80,4,Pyro,Bow,Sub DPS,ATK,8806,208,559,1
Amber,90,4,Pyro,Bow,Sub DPS,ATK,9461,223,601,1
Barbara,1,4,Hydro,Catalyst,Healer,HP,821,13,56,0
Barbara,20,4,Hydro,Catalyst,Healer,HP,2108,34,144,0
Barbara,20,4,Hydro,Catalyst,Healer,HP,2721,44,186,0
Barbara,40,4,Hydro,Catalyst,Healer,HP,4076,66,279,0
Barbara,40,4,Hydro,Catalyst,Healer,HP,4512,73,308,0
Barbara,50,4,Hydro,Catalyst,Healer,HP,5189,84,355,0
Barbara,50,4,Hydro,Catalyst,Healer,HP,5770,94,394,0
Barbara,60,4,Hydro,Catalyst,Healer,HP,6448,105,441,1
Barbara,60,4,Hydro,Catalyst,Healer,HP,6884,112,470,1
Barbara,70,4,Hydro,Catalyst,Healer,HP,7561,123,517,1
Barbara,70,4,Hydro,Catalyst,Healer,HP,7996,130,546,1
Barbara,80,4,Hydro,Catalyst,Healer,HP,8674,141,593,1
Barbara,80,4,Hydro,Catalyst,Healer,HP,9110,148,623,1
Barbara,90,4,Hydro,Catalyst,Healer,HP,9787,159,669,1
Beidou,1,4,Electro,Claymore,Sub DPS,Electro DMG,1094,19,54,0
Beidou,20,4,Electro,Claymore,Sub DPS,Electro DMG,2811,48,140,0
Beidou,20,4,Electro,Claymore,Sub DPS,Electro DMG,3628,63,180,0
Beidou,40,4,Electro,Claymore,Sub DPS,Electro DMG,5435,94,270,0
Beidou,40,4,Electro,Claymore,Sub DPS,Electro DMG,6015,104,299,0
Beidou,50,4,Electro,Claymore,Sub DPS,Electro DMG,6919,119,344,0
Beidou,50,4,Electro,Claymore,Sub DPS,Electro DMG,7694,133,382,0
Beidou,60,4,Electro,Claymore,Sub DPS,Electro DMG,8597,148,427,1
Beidou,60,4,Electro,Claymore,Sub DPS,Electro DMG,9178,158,456,1
Beidou,70,4,Electro,Claymore,Sub DPS,Electro DMG,10081,174,501,1
Beidou,70,4,Electro,Claymore,Sub DPS,Electro DMG,10662,184,530,1
Beidou,80,4,Electro,Claymore,Sub DPS,Electro DMG,11565,200,575,1
Beidou,80,4,Electro,Claymore,Sub DPS,Electro DMG,12146,210,603,1
Beidou,90,4,Electro,Claymore,Sub DPS,Electro DMG,13050,225,648,1
Bennett,1,4,Pyro,Sword,Healer,Energy Recharge,1039,16,65,0
Bennett,20,4,Pyro,Sword,Healer,Energy Recharge,2670,41,166,0
Bennett,20,4,Pyro,Sword,Healer,Energy Recharge,3447,53,214,0
Bennett,40,4,Pyro,Sword,Healer,Energy Recharge,5163,80,321,0
Bennett,40,4,Pyro,Sword,Healer,Energy Recharge,5715,88,356,0
Bennett,50,4,Pyro,Sword,Healer,Energy Recharge,6573,101,409,0
Bennett,50,4,Pyro,Sword,Healer,Energy Recharge,7309,113,455,0
Bennett,60,4,Pyro,Sword,Healer,Energy Recharge,8168,126,508,1
Bennett,60,4,Pyro,Sword,Healer,Energy Recharge,8719,134,542,1
Bennett,70,4,Pyro,Sword,Healer,Energy Recharge,9577,148,596,1
Bennett,70,4,Pyro,Sword,Healer,Energy Recharge,10129,156,630,1
Bennett,80,4,Pyro,Sword,Healer,Energy Recharge,10987,169,684,1
Bennett,80,4,Pyro,Sword,Healer,Energy Recharge,11539,178,718,1
Bennett,90,4,Pyro,Sword,Healer,Energy Recharge,12397,191,771,1
Chongyun,1,4,Cryo,Claymore,Sub DPS,ATK,921,19,54,0
Chongyun,20,4,Cryo,Claymore,Sub DPS,ATK,2366,48,140,0
Chongyun,20,4,Cryo,Claymore,Sub DPS,ATK,3054,62,180,0
Chongyun,40,4,Cryo,Claymore,Sub DPS,ATK,4574,93,270,0
Chongyun,40,4,Cryo,Claymore,Sub DPS,ATK,5063,103,299,0
Chongyun,50,4,Cryo,Claymore,Sub DPS,ATK,5824,118,344,0
Chongyun,50,4,Cryo,Claymore,Sub DPS,ATK,6475,131,382,0
Chongyun,60,4,Cryo,Claymore,Sub DPS,ATK,7236,147,427,1
Chongyun,60,4,Cryo,Claymore,Sub DPS,ATK,7725,157,456,1
Chongyun,70,4,Cryo,Claymore,Sub DPS,ATK,8485,172,501,1
Chongyun,70,4,Cryo,Claymore,Sub DPS,ATK,8974,182,530,1
Chongyun,80,4,Cryo,Claymore,Sub DPS,ATK,9734,198,575,1
Chongyun,80,4,Cryo,Claymore,Sub DPS,ATK,10223,208,603,1
Chongyun,90,4,Cryo,Claymore,Sub DPS,ATK,10984,223,648,1
Diluc,1,5,Pyro,Claymore,DPS,CRIT Rate,1011,26,61,0
Diluc,20,5,Pyro,Claymore,DPS,CRIT Rate,2621,68,158,0
Diluc,20,5,Pyro,Claymore,DPS,CRIT Rate,3488,90,211,0
Diluc,40,5,Pyro,Claymore,DPS,CRIT Rate,5219,135,315,0
Diluc,40,5,Pyro,Claymore,DPS,CRIT Rate,5834,151,352,0
Diluc,50,5,Pyro,Claymore,DPS,CRIT Rate,6712,173,405,0
Diluc,50,5,Pyro,Claymore,DPS,CRIT Rate,7533,194,455,0
Diluc,60,5,Pyro,Claymore,DPS,CRIT Rate,8421,217,509,1
Diluc,60,5,Pyro,Claymore,DPS,CRIT Rate,9036,233,546,1
Diluc,70,5,Pyro,Claymore,DPS,CRIT Rate,9932,256,600,1
Diluc,70,5,Pyro,Claymore,DPS,CRIT Rate,10547,272,637,1
Diluc,80,5,Pyro,Claymore,DPS,CRIT Rate,11453,295,692,1
Diluc,80,5,Pyro,Claymore,DPS,CRIT Rate,12068,311,729,1
Diluc,90,5,Pyro,Claymore,DPS,CRIT Rate,12981,335,784,1
Fischl,1,4,Electro,Bow,Sub DPS,ATK,770,20,50,0
Fischl,20,4,Electro,Bow,Sub DPS,ATK,1979,53,128,0
Fischl,20,4,Electro,Bow,Sub DPS,ATK,2555,68,165,0
Fischl,40,4,Electro,Bow,Sub DPS,ATK,3827,102,247,0
Fischl,40,4,Electro,Bow,Sub DPS,ATK,4236,113,274,0
Fischl,50,4,Electro,Bow,Sub DPS,ATK,4872,130,315,0
Fischl,50,4,Electro,Bow,Sub DPS,ATK,5418,144,350,0
Fischl,60,4,Electro,Bow,Sub DPS,ATK,6054,161,391,1
Fischl,60,4,Electro,Bow,Sub DPS,ATK,6463,172,418,1
Fischl,70,4,Electro,Bow,Sub DPS,ATK,7099,189,459,1
Fischl,70,4,Electro,Bow,Sub DPS,ATK,7508,200,485,1
Fischl,80,4,Electro,Bow,Sub DPS,ATK,8144,216,526,1
Fischl,80,4,Electro,Bow,Sub DPS,ATK,8553,227,553,1
Fischl,90,4,Electro,Bow,Sub DPS,ATK,9189,244,594,1
Jean,1,5,Anemo,Sword,Healer,Healing Bonus,1144,19,60,0
Jean,20,5,Anemo,Sword,Healer,Healing Bonus,2967,48,155,0
Jean,20,5,Anemo,Sword,Healer,Healing Bonus,3948,64,206,0
Jean,40,5,Anemo,Sword,Healer,Healing Bonus,5908,96,309,0
Jean,40,5,Anemo,Sword,Healer,Healing Bonus,6605,108,345,0
Jean,50,5,Anemo,Sword,Healer,Healing Bonus,7599,124,397,0
Jean,50,5,Anemo,Sword,Healer,Healing Bonus,8528,139,446,0
Jean,60,5,Anemo,Sword,Healer,Healing Bonus,9533,155,499,1
Jean,60,5,Anemo,Sword,Healer,Healing Bonus,10230,166,535,1
Jean,70,5,Anemo,Sword,Healer,Healing Bonus,11243,183,588,1
Jean,70,5,Anemo,Sword,Healer,Healing Bonus,11940,194,624,1
Jean,80,5,Anemo,Sword,Healer,Healing Bonus,12965,211,678,1
Jean,80,5,Anemo,Sword,Healer,Healing Bonus,13662,222,715,1
